rating,text,date
5,The new update is amazing. The UI is very smooth and I love the dark mode.,2026-03-01
1,The app takes forever to load after the recent update. Please fix the performance issues.,2026-02-25
4,I find the insights very helpful but sometimes the csv upload fails.,2026-03-05
2,The app crashes every time I try to export a PDF. Very frustrating.,2026-02-20
5,This app helps our growth team understand user sentiment weekly. Highly recommended!,2026-03-08
4,I like the theme extraction but I wish there were more action ideas.,2026-03-02
1,I am worried about my email being visible in reviews.,2026-02-15
5,Saves me hours of manual review reading every week.,2026-03-10
3,Chat bot is useless for complex issues.,2026-01-30
3,Waiting time for call is too long.,2026-02-06
4,KYC was done in 10 minutes.,2026-01-26
4,The exchange rate is fair.,2026-03-07
2,Waiting time for call is too long.,2026-02-25
3,Smooth onboarding process.,2026-01-14
3,Dark mode looks premium.,2026-02-22
5,Document upload failed thrice.,2026-01-11
5,Clean and modern interface.,2026-01-08
3,The exchange rate is fair.,2026-01-21
4,Fast execution for Indian stocks.,2026-02-02
1,Waiting time for call is too long.,2026-02-04
4,App crashes on the login screen.,2026-01-06
4,GTT orders work perfectly.,2026-01-18
4,Document upload failed thrice.,2026-03-01
5,Dark mode looks premium.,2026-02-05
4,Waiting time for call is too long.,2026-02-24
2,Document upload failed thrice.,2026-02-25
4,Love trading Apple and Tesla.,2026-01-19
5,Smooth onboarding process.,2026-01-06
5,KYC was done in 10 minutes.,2026-02-01
5,Tracking all my external funds in one place.,2026-02-11
3,Navigation is a bit confusing.,2026-01-29
5,App crashes on the login screen.,2026-01-16
2,Chat bot is useless for complex issues.,2026-02-07
5,Waiting time for call is too long.,2026-01-18
1,Smooth onboarding process.,2026-01-17
1,Clean and modern interface.,2026-02-14
5,Document upload failed thrice.,2026-03-10
3,Chat bot is useless for complex issues.,2026-02-09
1,Font size is too small in charts.,2026-01-10
3,The exchange rate is fair.,2026-02-12
5,Email support took 5 days to reply.,2026-03-01
3,Clean and modern interface.,2026-01-11
2,Withdrawal from US stocks took 3 days.,2026-02-17
5,Fractional shares are great for beginners.,2026-03-11
4,The exchange rate is fair.,2026-02-04
5,US stock account opening was smooth.,2026-01-03
3,SIP setup is very easy.,2026-02-22
1,Direct plans saved me commission.,2026-01-30
3,Stuck at PAN verification.,2026-02-24
4,Support team is very responsive.,2026-01-27
4,Chat bot is useless for complex issues.,2026-02-14
1,Waiting time for call is too long.,2026-03-04
2,App crashes on the login screen.,2026-01-30
5,Stuck at PAN verification.,2026-03-05
5,Order placement is snappy.,2026-01-17
4,Withdrawal from US stocks took 3 days.,2026-01-25
2,US stock account opening was smooth.,2026-01-05
4,Intraday charges are high.,2026-03-07
3,Tracking all my external funds in one place.,2026-02-28
4,Direct plans saved me commission.,2026-01-29
5,Tracking all my external funds in one place.,2026-02-07
3,Fractional shares are great for beginners.,2026-01-07
1,Comparison feature helps a lot.,2026-01-30
5,Fractional shares are great for beginners.,2026-02-01
3,US stock account opening was smooth.,2026-01-18
2,KYC was done in 10 minutes.,2026-03-03
4,Portfolio rebalancing advice is good.,2026-02-25
1,Fast execution for Indian stocks.,2026-01-27
5,Font size is too small in charts.,2026-02-18
4,App crashes on the login screen.,2026-02-08
2,Email support took 5 days to reply.,2026-02-14
5,Comparison feature helps a lot.,2026-03-02
2,SIP setup is very easy.,2026-01-04
3,Love trading Apple and Tesla.,2026-02-10
3,Waiting time for call is too long.,2026-02-17
4,Love trading Apple and Tesla.,2026-01-23
1,Stuck at PAN verification.,2026-01-17
3,Clean and modern interface.,2026-02-09
3,The exchange rate is fair.,2026-02-20
1,The exchange rate is fair.,2026-01-18
